# DASPi ChArUco observations
# board_squares_x=7
# board_squares_y=5
# square_length_m=0.040
# marker_length_m=0.020
# dictionary=DICT_4X4_50
frame,module,facet,corner_id,x,y
10,0,0,10,626.2,323.2
10,0,0,11,640.077,351.201
10,0,0,17,519.223,144.191
10,0,0,18,530.315,167.594
10,0,0,19,541.19,191.989
10,0,0,20,552.804,217.435
10,0,0,21,565.015,244.03
10,0,0,22,577.769,270.278
10,0,0,23,591.192,298.027
10,0,0,24,605.048,326.219
10,0,0,25,618.961,355.307
10,0,0,26,633.433,384.829
10,0,0,31,496.418,142.766
10,0,0,32,507.117,166.441
10,0,0,33,518.52,191.526
10,0,0,34,530.031,217.507
10,0,0,35,541.937,244.879
10,0,0,36,554.885,272.009
10,0,0,37,568.604,300.237
10,0,0,38,582.386,329.674
10,0,0,39,596.698,359.71
10,0,0,40,611.333,390.351
10,0,0,41,626.326,421.584
10,0,0,48,506.021,217.603
10,0,0,49,517.938,245.695
10,0,0,50,530.791,273.835
10,0,0,51,544.574,303.176
10,0,0,52,558.642,333.479
10,0,0,53,572.953,364.155
10,0,0,54,588.051,396.265
10,0,0,55,603.211,428.481
10,0,0,62,480.654,217.897
10,0,0,63,492.386,246.88
10,0,0,64,505.165,275.673
10,0,0,65,519.04,306.013
10,0,0,66,533.166,337.242
10,0,0,67,548.212,369.435
10,0,0,68,563.279,402.406
10,0,0,69,579.089,435.987
10,0,0,75,441.692,190.077
10,0,0,78,478.343,277.438
10,0,0,79,492.202,309.335
10,0,0,80,506.485,341.632
10,0,0,81,521.1,374.774
10,0,0,82,537.115,409.076
10,0,0,83,552.951,443.913
10,0,0,85,376.01,87.4016
10,0,0,86,384.229,111.051
10,0,0,87,393.404,136.092
10,0,0,88,403.124,162.48
10,0,0,89,413.85,190.008
10,0,0,92,449.331,280.39
10,0,0,95,493.372,380.573
10,0,0,96,509.284,416.199
10,0,0,97,525.915,452.419
10,0,0,99,347.698,84.7614
10,0,0,102,374.02,161.636
10,0,0,103,383.72,189.699
10,0,0,104,395.036,219.784
10,0,0,105,406.541,251.207
10,0,0,106,419.448,283.084
10,0,0,109,463.362,387.297
